CONTRIBUTOR,good
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",4
"NNP GZC Car '10WHITE', Person 'A'",6
"NNP GZC Car '11WHITE', Person 'A'",40
"NNP GZC Car '12WHITE', Person 'A'",19
"NNP GZC Car '13WHITE', Person 'A'",7
"NNP GZC Car '13WHITE', Person 'B'",28
"NNP GZC Car '14WHITE', Person 'A'",32
"NNP GZC Car '15WHITE', Person 'A'",17
"NNP GZC Car '15WHITE', Person 'B'",3
"NNP GZC Car '15WHITE', Person 'C'",0
"NNP GZC Car '15WHITE', Person 'D'",10
"NNP GZC Car '16WHITE', Person 'A'",1
"NNP GZC Car '17WHITE', Person 'A'",1
"NNP GZC Car '17WHITE', Person 'C'",4
"NNP GZC Car '1BLUE', Person 'A'",10
"NNP GZC Car '1BLUE', Person 'B'",25
"NNP GZC Car '1BLUE', Person 'C'",25
"NNP GZC Car '1BLUE', Person 'D'",6
"NNP GZC Car '1PURPLE', Person 'A'",113
"NNP GZC Car '1PURPLE', Person 'B'",137
"NNP GZC Car '1PURPLE', Person 'C'",2
"NNP GZC Car '1PURPLE', Person 'D'",198
"NNP GZC Car '1RED', Person 'A'",25
"NNP GZC Car '1RED', Person 'B'",61
"NNP GZC Car '1WHITE', Person 'A'",28
"NNP GZC Car '1WHITE', Person 'B'",28
"NNP GZC Car '1WHITE', Person 'C'",61
"NNP GZC Car '25PURPLE', Person 'A'",39
"NNP GZC Car '2RED', Person 'A'",49
"NNP GZC Car '2RED', Person 'B'",31
"NNP GZC Car '2RED', Person 'C'",33
"NNP GZC Car '2RED', Person 'D'",22
"NNP GZC Car '2RED', Person 'E'",0
"NNP GZC Car '2WHITE', Person 'A'",10
"NNP GZC Car '3PURPLE', Person 'A'",4
"NNP GZC Car '3PURPLE', Person 'B'",12
"NNP GZC Car '3RED', Person 'A'",33
"NNP GZC Car '3RED', Person 'B'",27
"NNP GZC Car '3WHITE', Person 'A'",36
"NNP GZC Car '4RED', Person 'A'",5
"NNP GZC Car '4RED', Person 'B'",0
"NNP GZC Car '4WHITE', Person 'A'",7
"NNP GZC Car '5RED', Person 'A'",1
"NNP GZC Car '5RED', Person 'C'",5
"NNP GZC Car '5WHITE', Person 'A'",42
"NNP GZC Car '6RED', Person 'A'",19
"NNP GZC Car '6RED', Person 'B'",34
"NNP GZC Car '6WHITE', Person 'B'",60
"NNP GZC Car '7WHITE', Person 'A'",13
"NNP GZC Car '7WHITE', Person 'B'",13
"NNP GZC Car '8WHITE', Person 'A'",60
"NNP GZC Car '9WHITE', Person 'A'",7
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",240
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",70
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",94
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",25
