CONTRIBUTOR,UNKNOWN SEX
"NNP GZC Car '10WHITE', Person 'A'",2
"NNP GZC Car '11WHITE', Person 'A'",16
"NNP GZC Car '12WHITE', Person 'A'",12
"NNP GZC Car '13WHITE', Person 'A'",3
"NNP GZC Car '13WHITE', Person 'B'",9
"NNP GZC Car '14WHITE', Person 'A'",11
"NNP GZC Car '15WHITE', Person 'A'",8
"NNP GZC Car '15WHITE', Person 'B'",0
"NNP GZC Car '15WHITE', Person 'C'",2
"NNP GZC Car '15WHITE', Person 'D'",6
"NNP GZC Car '17WHITE', Person 'A'",2
"NNP GZC Car '17WHITE', Person 'C'",1
"NNP GZC Car '1BLUE', Person 'A'",4
"NNP GZC Car '1BLUE', Person 'B'",13
"NNP GZC Car '1BLUE', Person 'C'",19
"NNP GZC Car '1BLUE', Person 'D'",5
"NNP GZC Car '1PURPLE', Person 'A'",22
"NNP GZC Car '1PURPLE', Person 'B'",19
"NNP GZC Car '1PURPLE', Person 'C'",3
"NNP GZC Car '1PURPLE', Person 'D'",24
"NNP GZC Car '1RED', Person 'A'",15
"NNP GZC Car '1RED', Person 'B'",31
"NNP GZC Car '1WHITE', Person 'A'",19
"NNP GZC Car '1WHITE', Person 'B'",33
"NNP GZC Car '1WHITE', Person 'C'",29
"NNP GZC Car '25PURPLE', Person 'A'",64
"NNP GZC Car '2RED', Person 'A'",15
"NNP GZC Car '2RED', Person 'B'",10
"NNP GZC Car '2RED', Person 'C'",20
"NNP GZC Car '2RED', Person 'D'",1
"NNP GZC Car '2RED', Person 'E'",0
"NNP GZC Car '2WHITE', Person 'A'",29
"NNP GZC Car '3PURPLE', Person 'A'",3
"NNP GZC Car '3PURPLE', Person 'B'",12
"NNP GZC Car '3RED', Person 'A'",24
"NNP GZC Car '3RED', Person 'B'",12
"NNP GZC Car '3WHITE', Person 'A'",23
"NNP GZC Car '4RED', Person 'A'",6
"NNP GZC Car '4RED', Person 'B'",1
"NNP GZC Car '4WHITE', Person 'A'",9
"NNP GZC Car '5RED', Person 'A'",1
"NNP GZC Car '5RED', Person 'C'",2
"NNP GZC Car '5WHITE', Person 'A'",54
"NNP GZC Car '6RED', Person 'A'",25
"NNP GZC Car '6RED', Person 'B'",46
"NNP GZC Car '6WHITE', Person 'B'",74
"NNP GZC Car '7WHITE', Person 'A'",7
"NNP GZC Car '7WHITE', Person 'B'",5
"NNP GZC Car '8WHITE', Person 'A'",25
"NNP GZC Car '9WHITE', Person 'A'",14
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",285
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",85
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",53
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",56
